"","x","y"
"134",1882.97001005702,-0.0634481762888255
"135",1882.98974531222,-0.0641622233699725
"136",1883.00889641009,-0.0648770643080495
"137",1883.02738818894,-0.065592868614742
"138",1883.04514548708,-0.0663098058017349
"139",1883.06209314281,-0.0670280453807136
"140",1883.07815599445,-0.067747756863363
"141",1883.09344904091,-0.0684782656315714
"142",1883.10868884953,-0.0692474525956478
"143",1883.12291137553,-0.0699961284873774
"144",1883.13636515143,-0.0707276450833373
"145",1883.14929870975,-0.0714453541601045
"146",1883.161960583,-0.0721526074942561
"147",1883.17459930371,-0.0728527568623693
"148",1883.18746340437,-0.073549154041021
"149",1883.20080141753,-0.0742451508067885
"150",1883.21486187568,-0.0749440989362488
"151",1883.22989331134,-0.0756493502059789
"152",1883.24614425704,-0.076364256392556
"153",1883.26386324529,-0.077092169272557
